en,es
_Keyboard Accessibility Preferences _Help _About AccessX Status Applet Factory Keyboard Accessibility Status Applet Factory Keyboard Accessibility Status Shows the status of keyboard accessibility features Shows the state of AccessX features such as latched modifiers translator-credits There was an error launching the help viewer: %s There was an error launching the keyboard preferences dialog: %s a AccessX Status Shows keyboard status when accessibility features are used.,Preferencias de accesibilidad del _teclado Ay_uda _Acerca de Fábrica de la miniaplicación Estado de AccessX Fábrica de la miniaplicación de estado de accesibilidad del teclado Estado de accesibilidad del teclado Muestra el estado de las características de accesibilidad del teclado Muestra el estado de las características AccessX como los modificadores bloqueadosdocumenters Francisco Javier F.
XKB Extension is not enabled Unknown error Error: %s Displays current state of keyboard accessibility features Battstat Factory Battery Charge Monitor Monitor a laptop's remaining power _Preferences System is running on AC power System is running on battery power Battery charged (%d%%) Unknown time (%d%%) remaining Unknown time (%d%%) until charged %d %s %d %s (%d%%) remaining %d %s %d %s until charged (%d%%) Battery Monitor Your battery is now fully recharged Battery Notice You have %d%% of your total battery capacity remaining.,Serrador <serrador\@cvs\.gnome\.org> Jorge González González <jorge\.gonzalez\.gonzalez\@hispalinux\.es> Ha ocurrido un error lanzando el visor de ayuda: %s Ha ocurrido un error al lanzar el diálogo de preferencias del teclado: %s a Estado de AccessX Muestra el estado del teclado cuando se usan las características de accesibilidad.
"To avoid losing your work: • plug your laptop into external power, or • save open documents and shut your laptop down.","La extensión XKB no está activada Error desconocido Error: %s Muestra el estado actual de las características de accesibilidad del teclado Fábrica para «Estado de la batería» Monitor de carga batería Monitoriza la carga restante de un portátil _Preferencias El sistema está funcionando con CA El sistema está funcionando con baterías Batería cargada al (%d%%) Tiempo desconocido, (%d%%) restante Tiempo desconocido, (%d%%) hasta su carga Le quedan %d %s %d %s (%d%%) %d %s %d %s para cargarse (%d%%) Monitor de la batería La batería está recargada completamente Notificación de batería Le queda un %d%% de la capacidad total de su batería."
"To avoid losing your work: • suspend your laptop to save power, • plug your laptop into external power, or • save open documents and shut your laptop down.","Para evitar perder su trabajo: • enchufe su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
Your battery is running low No battery present Battery status unknown N/A There was an error displaying help: %s This utility shows the status of your laptop battery.,"Para evitar perder su trabajo: • suspenda su portátil para ahorrar energía, • enchufe su portátil a una fuente de alimentación externa, o • guarde los documentos abiertos y apague el portátil."
HAL backend enabled.,La batería se está agotando No hay ninguna batería presente Estado de la batería desconocido N/D Hubo un error al mostrar la ayuda: %s Esta utilidad muestra el estado de la batería de su portátil.
Legacy (non-HAL) backend enabled.,Backend de HAL activado.
"Battery Charge Monitor Preferences Appearance _Compact view (shows single image for status and charge) _Expanded view (two images: one for status, one for charge) _Show time/percentage: Show _time remaining Show _percentage remaining Notifications _Warn when battery charge drops to: _Notify when battery is fully recharged No batteries found Red value level The battery level below which the battery is displayed as red.",Backend legado (No-HAL) activado.
Also the value at which the low battery warning is displayed.,"Preferencias del monitor de carga batería _Apariencia: Vista _compacta (muestra una imagen única para el estado y la carga) Vista _expandida (dos imágenes: una para el estado, otra para la carga) Mostrar _tiempo/porcentaje: Mostrar el _tiempo restante Mostrar el _porcentaje restante Notificaciones _Avisar cuando la carga de la batería baje hasta: _Notificarme cuando la batería esté recargada completamente No hay ninguna batería presente Nivel de valor rojo El nivel de batería por debajo del cual se muestra de color rojo."
Warn on low time rather than low percentage Use the value defined in red_value as a time remaining to show the warning dialog rather than a percentage.,También el valor en el cual se muestra la advertencia de batería baja.
Low Battery Notification Notify user when the battery is low.,Avisar cuando quede poco tiempo en vez de bajo porcentaje Usar el valor definido en red_value como el tiempo que queda para mostrar el diálogo de advertencia en vez de un porcentaje Notificación de batería baja Notificar al usuario cuando la batería esté baja Notificación de batería cargada Notificar al usuario cuando la batería esté llena Pitar para las advertencias Pitar al mostrar una advertencia Vaciar desde arriba Mostrar el medidor de batería vaciándose desde la parte superior de la batería.
Full Battery Notification Notify user when the battery is full.,Sólo implementado para la vista tradicional de la batería.
Beep for warnings Beep when displaying a warning.,"Batería vertical (pequeña) Muestra la batería hacia arriba, más pequeña en el panel Muestra la batería horizontal Muestra la batería tradicional horizontal en el panel Muestra la etiqueta de tiempo/porcentaje 0 para ninguna etiqueta, 1 para porcentaje y 2 para tiempo restanteWarn when battery charge drops to: [XX] percent por cientoWarn when battery charge drops to: [XX] minutes remaining minutos restantes Utilidad de estado de la batería Carga de la batería baja Batería recargada completamente Fábrica para miniaplicación selector de caracteres Paleta de caracteres Insertar caracteres Paletas disponiblesPILCROW SIGN Insertar «%s» Insertar carácter especial insertar carácter especial %s Miniaplicación del panel de GNOME para seleccionar caracteres que no están en mi teclado."
Drain from top Show the battery meter draining from the top of the battery.,Distribuido bajo la Licencia Pública General GNU.
Only implemented for traditional battery view.,OBSOLETO - Caracteres mostrados al iniciar la miniaplicación Caracteres mostrados al iniciar la miniaplicación La cadena que el usuario había seleccionado cuando se usó la miniaplicación por última vez.
"Upright (small) battery Show the upright, smaller battery on the panel.",Esta cadena se mostrará cuando el usuario inicie la miniaplicación.
"Show the horizontal battery Show the traditional, horizontal battery on the panel.",Lista de paletas disponibles Lista de cadenas que contienen las paletas disponibles _Editar _Paleta: Entrada de paleta Modificar una paleta añadiendo o quitando caracteres Añadir paleta Editar la paleta Lista de paletas _Paletas: Botón «Añadir» Pulse para añadir una paleta nueva Botón «Editar» Pulse para editar la paleta seleccionada Botón «Borrar» Pulse para borrar la paleta seleccionada Preferencias de la paleta de caracteres Monitor de frecuencia de la CPU Monitoriza el escalado de frecuencia de la CPU CPU que monitorizar Establece la CPU que monitorizar.
"Show the time/percent label 0 for no label, 1 for percentage and 2 for time remaining.","En un sistema monoprocesador, no tiene que cambiarlo."
"Percent Minutes Remaining Battery Status Utility Battery power low Battery fully re-charged Charpicker Applet Factory Character Palette Insert characters Available palettes Insert ""%s"" Insert special character insert special character %s Gnome Panel applet for selecting strange characters that are not on my keyboard.","Modo para mostrar el uso de la CPU Un valor de 0 significa mostrar la miniaplicación en modo gráfico (sólo pixmap), 1 mostrar la miniaplicación en modo texto (no mostrar el pixmap) y 2 mostrar la miniaplicación en modo gráfico y texto."
Released under GNU General Public Licence.,El tipo de texto a mostrar (si el texto está activado).
DEPRECATED - Characters shown on applet startup Characters shown on applet startup The string that the user had selected when the applet was last used.,"Un valor 0 significa mostrar la frecuencia de la CPU, 1 mostrar la frecuencia y las unidades y 2 mostrar un porcentaje en vez de la frecuencia."
This string will be displayed when the user starts the applet.,Preferencias del monitor de frecuencia de la CPU Configuración del monitor CPU _monitorizada: Configuración del visor _Apariencia: Mostrar la frecuencia de la CPU como _frecuencia Mostrar las _unidades de la frecuencia Mostrar la frecuencia de la CPU como _porcentaje No se pudo abrir el documento de ayuda Esta utilidad muestra el estado actual del escalado de frecuencia de la CPU.
List of available palettes List of strings containing the available palettes.,Esta utilidad muestra la frecuencia actual de la CPU Gráfico Texto Gráfico y texto Sin soporte para escalado de frecuencia Escalado de frecuencia de la CPU no soportado No podrá modificar la frecuencia de su máquina.
_Edit _Palette: Palette entry Modify a palette by adding or removing characters Add Palette Edit Palette Palettes list _Palettes: Add button Click to add a new palette Edit button Click to edit the selected palette Delete button Click to delete the selected palette Character Palette Preferences CPU Frequency Scaling Monitor Monitor the CPU Frequency Scaling CPU to Monitor Set the CPU to monitor.,Su máquina puede estar mal configurada o no tener soporte hardware para el escalado de frecuencia de la CPU.
In a single processor system you don't have to change it.,Monitoriza el escalado de frecuencia de la CPU Monitoriza el escalado de frecuencia de la CPU Fábrica de la miniaplicación montador de discos Fábrica para la miniaplicación montador de discos Montador de discos Monta dispositivos y discos locales (montado) (desmontado) No se puede ejecutar «%s» _Reproducir DVD _Reproducir CD _Abrir %s Des_montar %s _Montar %s _Expulsar %s Miniaplicación para montar y desmontar volúmenes de bloques.
"Mode to show cpu usage A 0 value means to show the applet in graphic mode (pixmap only), 1 to show the applet in text mode (not to show the pixmap) and 2 to show the applet in graphic and text mode.",Intervalo del tiempo de espera para comprobar el estado de los puntos de montaje Tiempo en segundos entre las actualizaciones del estado Fábrica de la miniaplicación Geyes Un conjunto de globos oculares para su panel Un pequeño clon de xeyes para el panel de GNOME.
The type of text to display (if the text is enabled).,Los ojos miran en la dirección del puntero del ratón Directorio en el cual se encuentra situado el tema No se puede lanzar la miniaplicación Geyes.
"A 0 value means to show cpu frequency, 1 to show frequency and units, and 2 to show percentage instead of frequency.",Hubo un error fatal al intentar cargar el tema.
CPU Frequency Monitor Preferences Monitor Settings _Monitored CPU: Display Settings _Appearance: Show CPU frequency as _frequency Show frequency _units Show CPU frequency as _percentage Could not open help document This utility shows the current CPU Frequency Scaling.,Preferencias de Geyes Temas _Seleccione un tema: Teclado genérico Mapa de teclado árabe Armenio Vasco Belga Mapa de teclado búlgaro Mapa de teclado portugués brasileño Búlgaro cirílico Mapa de teclado suizo Mapa de teclado checo Mapa de teclado alemán Mapa de teclado danés Mapa de teclado estonio Mapa de teclado español Mapa de teclado finlandés Suizo francés Mapa de teclado francés-canadiense 105 teclas Mapa de teclado suizo francés Mapa de teclado francés GB 102 teclas Mapa de teclado inglés GB 105 teclas Mapa de teclado georgiano Georgiano latino Distribución georgiano rusa Alemán Alemán suizo con Euro Mapa de teclado griego Húngaro 101 teclas latino 1 Húngaro latino 1 Húngaro 101 teclas latino 2 Húngaro 105 teclas latino 2 Húngaro 105 teclas latino 1 Sun (no PC) húngaro Tipo5 latino 2 Teclado húngaro PC/AT 101 Mapa de teclado hebreo Mapa de teclado islandés Mapa de teclado italiano Mapa de teclado japonés Mapa de teclado de Laos Mapa de teclado lituano Macedonio Mapa de teclado holandés Noruego Teclas muertas del polaco Polaco Teclas muertas portugués Portugal Mapa de teclado portugués Mapa de teclado ruso Mapa de teclado ruso plano Ruso cirílico Mapa de teclado sueco Mapa de teclado esloveno Mapa de teclado eslovaco Esloveno Sueco Tailandés Tailandés Kedmanee Mapa de teclado tailandés Teclado turco «F» Teclado turco «Q» Mapa de teclado turco Mapa de teclado Reino Unido 105-teclas Reino Unido PC/AT Estadounidense PC/AT 101 Estadounidense de 101 teclas Estadounidense de 84 teclas Estadounidense DEC 450 Estadounidense IBM RS/6000 Estadounidense internacional Estadounidense de 105 teclas (con teclas Windows) Estadounidense Macintosh Estadounidense Silicon Graphics 101-teclas Estadounidense Sun tipo 5 Mapa de teclado servio Mapa de teclado mongol alt Mapa de teclado mongol fonético Mapa de teclado mongol Comportamiento del cambio de distribución La tecla Alt derecha cambia la distribución.
This utility shows the current CPU Frequency Graphic Text Graphic and Text Frequency Scaling Unsupported CPU frequency scaling unsupported You will not be able to modify the frequency of your machine.,La tecla Alt izquierda cambia la distribución.
Your machine may be misconfigured or not have hardware support for CPU frequency scaling.,La tecla Bloq Mayús.
Change CPU Frequency scaling Privileges are required to change the CPU Frequency scaling.,cambia la distribución.
Drive Mount Applet Factory Factory for drive mount applet Disk Mounter Mount local disks and devices (mounted) (not mounted) Cannot execute '%s' _Play DVD _Play CD _Open %s Un_mount %s _Mount %s _Eject %s Applet for mounting and unmounting block volumes.,Mayús+Bloq Mayús cambia la distribución.
Interval timeout to check mount point status Time in seconds between status updates Geyes Applet Factory A set of eyeballs for your panel A goofy set of eyes for the GNOME panel.,Ambas teclas Mayús.
They follow your mouse.,juntas cambian la distribución.
The eyes look in the direction of the mouse pointer Directory in which the theme is located Can not launch the eyes applet.,Ambas teclas Alt juntas cambian la distribución.
There was a fatal error while trying to load the theme.,Ambas teclas Ctrl juntas cambian la distribución.
"Geyes Preferences Themes _Select a theme: Generic Keyboard Arabic keymap Armenian Basque Belgian Bulgarian keymap Brazil Portuguese keymap Bulgarian Cyrillic Swiss keymap Czech keymap German keymap Danish keymap Estonian keymap Spanish keymap Finnish keymap French Swiss French-Canadian 105-key French Swiss keymap French keymap GB 102-key English keymap GB 105-key Georgian keymap Georgian Latin Georgian Russian layout German German Swiss with Euro Greek keymap Hungarian 101-key latin 1 Hungarian latin1 Hungarian 101-key latin 2 Hungarian 105-key latin 2 Hungarian 105-key latin 1 Sun (!not PC!) type5 Hungarian latin 2 Hungarian PC/AT 101 keyboard Hebrew keymap Icelandic keymap Italian keymap Japanese keymap Lao keymap Lithuanian keymap Macedonian Dutch keymap Norwegian Polish deadkeys Polish Portugal Deadkeys Portugal Portuguese keymap Russian keymap Plain Russian keymap Russian Cyrillic Swedish keymap Slovenian keymap Slovak keymap Slovenian Swedish Thai Thai Kedmanee Thai keymap Turkish ""F"" keyboard Turkish ""Q"" keyboard Turkish keymap UK 105-key UK PC/AT keyboard US PC/AT 101 keyboard US 101-key keyboard US 84-key US DEC 450 US IBM RS/6000 US International US 105-key keyboard (with windows keys) US Macintosh US Silicon Graphics 101-key US Sun type5 Serbian keymap Mongolian alt keymap Mongolian phonetic keymap Mongolian keymap Layout shift behavior Right Alt key changes layout.",Control+Mayús.
Left Alt key changes layout.,cambia la distribución.
CapsLock key changes layout.,Alt+Control cambia la distribución.
Shift+CapsLock changes layout.,Alt+Mayús.
Both Shift keys together change layout.,cambia la distribución.
Both Alt keys together change layout.,La tecla Menú cambia la distribución.
Both Ctrl keys together change layout.,La tecla Win izquierda cambia la distribución.
Control+Shift changes layout.,La tecla Win derecha cambia la distribución.
Alt+Control changes layout.,La tecla Mayús izquierda cambia el grupo.
Alt+Shift changes layout.,La tecla Mayús derecha cambia el grupo.
Menu key changes layout.,La tecla Ctrl izquierda cambia el grupo.
Left Win-key changes layout.,La tecla Ctrl derecha cambia el grupo.
Right Win-key changes layout.,Mapa de teclado armenio de Sun Mapa de teclado turco azerbaijaní de Sun Mapa del teclado holandés de Sun Mapa de teclado búlgaro de Sun Mapa de teclado portugués brasileño USB de Sun Mapa de teclado portugués brasileño de Sun Mapa de teclado Bielorruso de Sun Mapa de teclado canadiense de Sun Mapa de teclado suizo alemán de Sun Mapa de teclado checo de Sun Mapa de teclado alemán Type 4 de Sun Mapa de teclado alemán USB de Sun Mapa de teclado alemán de Sun Mapa de teclado danés Type 4 de Sun Mapa de teclado danés USB Mapa de teclado danés de Sun Mapa de teclado estonio de Sun Mapa de teclado español Type 4 de Sun Mapa de teclado español USB de Sun Mapa de teclado español de Sun Mapa de teclado finlandés de Sun Mapa de teclado francés USB de Sun Mapa de teclado francés de Sun Mapa de teclado británico Type 4 de Sun Mapa de teclado británico USB Sun Mapa de teclado británico de Sun Mapa de teclado húngaro latino2 de Sun Mapa de teclado húngaro Type 5 latino1 Mapa de teclado hebreo de Sun Mapa de teclado islandés de Sun Mapa de teclado Type-4 de Sun Mapa de teclado italiano USB de Sun Mapa de teclado italiano de Sun Mapa de teclado japonés Type-4 de Sun Mapa de teclado japonés de Sun Mapa de teclado lituano de Sun Mapa de teclado letón de Sun Mapa de teclado macedonio de Sun Mapa de teclado noruego de Sun Mapa de teclado polaco de Sun Mapa de teclado portugués Type 4 de Sun Mapa de teclado portugués de Sun Mapa de teclado rumano de Sun Mapa de teclado ruso de Sun Mapa de teclado sueco Type 4 de Sun Mapa de teclado sueco USB de Sun Mapa de teclado sueco de Sun Mapa de teclado esloveno de Sun Mapa de teclado eslovaco de Sun Mapa de teclado servio estándar de Sun Mapa de teclado tailandés de Sun Mapa de teclado turco de Sun Mapa de teclado ucraniano de Sun Mapa de teclado estadounidense Tipo 5 de Sun Mapa de teclado estadounidense Tipo4 de Sun Mapa de teclado estadounidense USB de Sun Mapa de teclado vietnamita de Sun _Grupos _Preferencias del teclado Mostrar _distribución actual Añadir complemento Fábrica de la miniaplicación del teclado Indicador del teclado Indicador de distribución del teclado Desconocido Distribución del teclado «%s» Copyright © Sergey V.
Left Shift key changes group.,Udaltsov 1999-2004 Indicador de la distribución del teclado para GNOME Indicador del teclado (%s) Distribución del teclado _Detalles _Actualizar Fábrica de la miniaplicación GWeather Fábrica para crear la miniaplicación de meteorología.
Right Shift key changes group.,Informe meteorológico Monitoriza la condiciones meteorológicas actuales y los pronósticos Copyright © 1999-2005 por S.
Left Ctrl key changes group.,Papadimitriou y otros Una aplicación del panel para monitorizar la meteorología local.
Right Ctrl key changes group.,Meteorología de GNOME Previsión meteorológica Ciudad: %s Cielo: %s Temperatura: %s Actualizando…
"Armenian Sun keymap Azerbaijani Turkish Sun keymap Dutch Sun keymap Bulgarian Sun keymap Brazil Portuguese Sun USB keymap Brazil Portuguese Sun keymap Belarusian Sun keymap Canadian Sun keymap Swiss German Sun keymap Czech Sun keymap German Sun Type-4 keymap German Sun USB keymap German Sun keymap Danish Sun Type-4 keymap Danish Sun USB keymap Danish Sun keymap Estonian Sun keymap Spanish Sun Type-4 keymap Spanish Sun USB keymap Spanish Sun keymap Finnish Sun keymap French Sun USB keymap French Sun keymap British Sun Type-4 keymap British Sun USB keymap British Sun keymap Hungarian latin2 Sun keymap Hungarian type5 latin 1 keymap Hebrew Sun keymap Icelandic Sun keymap Italian Sun Type-4 keymap Italian Sun USB keymap Italian Sun keymap Japanese Sun Type-4 keymap Japanese Sun keymap Lithuanian Sun keymap Latvian Sun keymap Macedonian Sun keymap Norwegian Sun keymap Polish Sun keymap Portuguese Sun Type-4 keymap Portuguese Sun keymap Romanian Sun keymap Russian Sun keymap Swedish Sun Type-4 keymap Swedish Sun USB keymap Swedish Sun keymap Slovenian Sun keymap Slovak Sun keymap Serbian Sun standard keymap Thai Sun keymap Turkish Sun keymap Ukrainian Sun keymap US Sun type5 keymap US Sun Type-4 keymap US Sun USB keymap Vietnamese Sun keymap _Groups Keyboard _Preferences Show Current _Layout Pl_ugins Keyboard applet factory Keyboard Indicator Keyboard layout indicator Unknown Keyboard Layout ""%s"" Copyright (c) Sergey V.",Detalles Ciudad: Última actualización: Condiciones: Cielo: Temperatura: Sensación térmica: Punto de condensación: Humedad relativa: Viento: Presión atmosférica: Visibilidad: Amanecer: Ocaso: Condiciones actuales Informe del pronóstico Ver los detalles del pronóstico Pronóstico Mapa de radar _Visitar weather.com Visitar weather.com Pulse para entrar en Weather.com Pronóstico no disponible actualmente para este lugar.
Papadimitriou and others A panel application for monitoring local weather conditions.,Preferencias de meteorología _Actualizar automáticamente cada: Unidad de _temperatura: Predeterminado Kelvin Centígrados Fahrenheit Unidad de velocidad del _viento:meters per second m/skilometers per hour Km/hmiles per hour mphknots nudos Escala Beaufort Unidad de _presión atmosférica:kiloPascals kPahectoPascals hPamillibars mbmillibars of mercury mmHginches of mercury inHgatmospheres atm Unidad de _visibilidad:meters metroskilometers Kmmiles millas Activar el mapa de _radar Usar dirección _personalizada para el mapa de radar Di_recciones: Actualizar minutos Visor General _Seleccione una zona: _Buscar: Buscar _siguiente Zona Invertir Seguimiento de su dinero invertido.
Details City: Last update: Conditions: Sky: Temperature: Feels like: Dew point: Relative humidity: Wind: Pressure: Visibility: Sunrise: Sunset: Current Conditions Forecast Report See the ForeCast Details Forecast Radar Map _Visit Weather.com Visit Weather.com Click to Enter Weather.com Forecast not currently available for this location.,Preferencias de inversión Stocks Nota: Las cifras están retrasadas al menos 15 minutos.
Location view Select Location from the list Update spin button Spinbutton for updating Address Entry Enter the URL Failed to load the Locations XML database.,Fuentes: Yahoo!
Please report this as a bug.,Gráfica financiera - %s Abriendo gráfica Miniaplicación de inversiones Símbolo Cantidad Precio Comisión Actualizar last price Deskbar (anterior Mini-Commander) Deskbar (actualización transparente de Mini-Commander) Fábrica de la miniaplicación Mini-Commander Línea de comandos Mini-Commander Esta miniaplicación de GNOME añade una línea de comandos al panel.
Weather Preferences _Automatically update every: _Temperature unit: Default Kelvin Celsius Fahrenheit _Wind speed unit: m/s km/h mph knots Beaufort scale _Pressure unit: kPa hPa mb mmHg inHg atm _Visibility unit: meters km miles Enable _radar map Use _custom address for radar map A_ddress: Update minutes Display General _Select a location: _Find: Find _Next Location Invest Track your invested money.,"Tiene completado de comandos, histórico de comandos, y macros cambiables."
_Refresh Financial Chart _Ticker symbol: Auto _refresh _Graph style: Moving average: Exponential moving average: 5 10 20 50 100 200 Overlays: Bollinger SAR Splits Volumes Indicators: RSI Vol MFI Slow stoch Vol+MA ROC Fast stoch W%R MACD _Options Downloading chart from Yahoo!,"Histórico vacío Lanzar el programa Línea de comandos Escriba un comando aquí y GNOME lo ejecutará por usted No se puede obtener el esquema para %s: %s No se puede establecer el esquema para %s: %s Establecer el valor predeterminado de lista para %s GCONF_DISABLE_MAKEFILE_SCHEMA_INSTALL está activado, no se están instalando esquemas Debe asignar la variable de entorno GCONF_CONFIG_SOURCE Falló al acceder a las fuentes de configuración: %s Error al sincronizar los datos de configuración: %s Lista de patrones de macro Lista de entradas de GConfValue que contienen cadenas para los patrones de macro."
Invest Preferences Stocks Note: Quotes are delayed at least 15 minutes.,Lista de comandos de macro Lista de entradas de GConfValue que contienen cadenas para los comandos de macro.
Source: Yahoo!,Preferencias de línea de comandos Autocompletado _Activar autocompletado basado en histórico A_nchura: píxeles Colores _Usar los colores predeterminados del tema Color de la _tipografía: Color del _fondo: Escoja un color _Macros: _Añadir macro…
Financial Chart - %s Opening Chart Invest Applet Symbol Amount Price Commission Updated at %s Positions balance: %+.2f Deskbar (formerly Mini-Commander) Deskbar (transparent upgrade from Mini-Commander) MiniCommander Applet Factory Command Line Mini-Commander This GNOME applet adds a command line to the panel.,_Borrar macro Macros Añadir una macro nueva _Patrón: Co_mando: Mostrar el tirador Mostrar un tirador para que la miniaplicación pueda desprenderse del panel.
"It features command completion, command history, and changeable macros.",Mostrar el marco Mostrar un marco alrededor de la miniaplicación.
"No items in history Start program Command line Type a command here and Gnome will execute it for you Cannot get schema for %s: %s Cannot set schema for %s: %s Set default list value for %s GCONF_DISABLE_MAKEFILE_SCHEMA_INSTALL is set, not installing schemas Must set the GCONF_CONFIG_SOURCE environment variable Failed to access configuration source(s): %s Error syncing config data: %s Macro pattern list List of GConfValue entries containing strings for the macro patterns.",Realizar autocompletado mediante histórico Intenta autocompletar un comando desde el historial de comandos introducidos.
Macro command list List of GConfValue entries containing strings for the macro commands.,Anchura Anchura de la miniaplicación Ya no se utiliza Usar los colores del tema predeterminado Usa los colores del tema en lugar de los personalizados.
Command Line Preferences Auto Completion E_nable history-based auto completion _Width: pixels Colors _Use default theme colors Command line _foreground: Command line _background: Pick a color _Macros: _Add Macro...,"Color de tipografía, componente rojo El componente rojo del color de frente."
_Delete Macro Macros Add New Macro _Pattern: Co_mmand: Show handle Show a handle so the applet can be detached from the panel.,"Color de tipografía, componente verde El componente verde del color de frente."
Show frame Show a frame surrounding the applet.,"Color de tipografía, componente azul El componente azul del color de frente."
Perform history autocompletion Attempt to autocomplete a command from the history of commands entered.,"Color del fondo, componente roja El componente rojo del color de fondo."
Width Width of the applet Not used anymore Use the default theme colors Use theme colors instead of custom ones.,"Color del fondo, componente verde El componente verde del color de fondo."
"Foreground color, red component The red component of the foreground color.","Color del fondo, componente azul El componente azul del color de fondo."
"Foreground color, green component The green component of the foreground color.",Lista del histórico Lista de entradas de GConfValue que contienen cadenas para las entradas históricas.
"Foreground color, blue component The blue component of the foreground color.","Esta clave por miniaplicación se ha declarado obsoleta en favor de la clave global, /schemas/apps/mini-commander-global/macro_patterns."
"Background color, red component The red component of the background color.",Navegador Pulse sobre este botón para iniciar el navegador Histórico Pulse sobre este botón para la lista de comandos anteriores La línea de comandos ha sido desactivada por su administrador del sistema Miniaplicación Mini-Commander Esta miniaplicación añade una línea de comandos al panel Debe especificar un patrón Debe especificar un patrón y un comando Debe especificar un comando No puede especificar patrones duplicados Patrón Comando Control de volumen Ajusta el volumen del sonido _Silenciar Abrir el c_ontrol de volumen Miniaplicación del volumen El control de volumen no encontró ningún elemento y/o dispositivo que controlar.
"Background color, green component The green component of the background color.",Esto significa que no tiene los complementos correctos de GStreamer instalados o que no tiene una tarjeta de sonido configurada.
